imgArea,cm02,cm10,cm01,CHArea,defectsArea,m20,cm11,m11,filename,defectsN,m10,CHPerimeter,m02,cm20,m01,imgPerimeter
3055.0,40820857.166666664,316524.8333333333,474276.1666666666,6634.0,3117.9999999999995,6127037.166666666,22307133.0,7959497.916666666,00000071.png,12,131697.66666666666,330.4562381505966,14785866.0,17037044.166666664,187097.8333333333,550.0731556415558
3091.0,37312436.33333333,290016.8333333333,435172.6666666666,6141.0,2775.0000000000005,6189425.5,20271444.916666664,8046785.5,00000072.png,12,133749.0,322.7929846048355,14778895.166666666,15206727.0,188624.3333333333,520.9604578018188
3053.0,32036905.583333332,255586.5,378145.0,5448.5,1982.499999999999,6079750.0,17598906.125,7985170.416666666,00000073.png,12,132691.16666666666,312.7183817625046,14445660.166666666,13016860.083333332,185407.3333333333,475.0193328857422
3078.5,27130354.75,223545.0,325388.0,4826.5,1377.0000000000005,6160667.416666666,15020566.291666666,8175939.375,00000074.png,11,134779.8333333333,301.29850339889526,14608922.25,11041109.583333332,187821.0,432.634556889534
3077.0,22094567.916666664,186144.66666666666,269833.5,4141.5,1268.5000000000002,6228698.833333333,12129134.708333332,8289718.916666666,00000075.png,10,135924.0,292.5738288164139,14562450.0,8788090.25,187904.8333333333,356.30865597724915
2868.0,19166220.333333332,165545.3333333333,235509.66666666666,3673.0,802.5,5761189.333333333,10664381.25,7754039.916666666,00000076.png,11,126574.33333333333,287.3348525762558,13612301.333333332,7750148.0,175294.66666666666,330.6518018245697
3007.5,19116010.416666664,168642.0,236321.3333333333,3723.5,718.9999999999991,5994426.583333333,10706478.875,8479268.375,00000077.png,13,132131.16666666666,288.2337987422943,15591867.25,7941777.083333333,192638.16666666666,327.722869515419
3193.0,21740825.0,179594.66666666666,261666.8333333333,3980.0,753.0000000000015,6279586.333333333,11807702.583333332,9238066.333333332,00000078.png,12,139009.5,293.6504055261612,17546213.0,8467505.0,211388.16666666666,349.62236428260803
2740.0,24822559.75,192260.3333333333,289843.0,4250.5,1349.4999999999966,5389176.5,13178967.958333332,7394839.666666666,00000079.png,9,118488.16666666666,305.7654939889908,13759076.666666666,9140625.083333332,170481.0,457.4213538169861
2795.0,29997398.5,223307.16666666666,343038.5,4823.0,1728.4999999999961,5554756.833333333,16056451.333333332,7657837.5,00000080.png,9,120718.66666666666,314.8497862815857,14328161.166666666,11045098.666666666,176215.3333333333,450.1076455116272
2764.5,34774129.58333333,255449.3333333333,392905.6666666666,5382.5,1959.4999999999986,5554280.25,18885828.791666664,7688177.708333333,00000081.png,11,119057.33333333333,323.5164121389389,14448914.583333332,13161968.25,176470.66666666666,455.3208485841751
2749.5,38139756.0,275620.6666666666,428120.1666666666,5767.0,2203.0000000000014,5559467.25,20612255.666666664,7652990.875,00000082.png,12,117976.83333333333,329.1861871480942,14587749.25,14508371.0,177471.8333333333,456.634556889534
2782.5,41840762.666666664,291353.1666666666,463634.1666666666,6107.0,2554.000000000002,5723020.75,22229230.5,7934201.375,00000083.png,10,119540.16666666666,334.9638444185257,15272377.416666666,15531316.833333332,183192.16666666666,471.26197350025177
2750.0,42344469.75,280006.6666666666,466242.3333333333,6081.5,2699.000000000002,5630676.833333333,21393300.958333332,7765424.0,00000084.png,10,117899.16666666666,336.84888207912445,15136377.666666666,14539585.916666666,181421.66666666666,472.67618703842163
2741.5,42312888.83333333,267369.5,463922.5,6017.0,2788.0,5637720.083333333,20385046.166666664,7763055.875,00000085.png,10,117842.66666666666,338.24211752414703,15228658.916666666,13506908.166666666,181818.8333333333,468.0904005765915
2666.5,41728580.25,254212.66666666666,457042.3333333333,5925.5,2797.500000000003,5546531.25,19208649.708333332,7543091.791666666,00000086.png,10,115716.0,338.5571868419647,14651553.416666666,12480856.583333332,175781.5,472.43354642391205
